Key,ko,jp,en
title,미래로 가는 차표 - 7월의 어느 날을 향하여,未来へ行くための切符 - 7月のある日へ,A Ticket to the Future - Toward a Day in July
sys.game_end.to_title,타이틀 화면,タイトル画面,Title Screen
sys.game_end.continue,이어하기,続き,Continue
sign.forester,숲가는 길,森の道,Path to the Forest
sign.village,마을가는 길,村の道,Path to the Village
sign.flower_field,들판가는 길,田んぼの道,Path to the Field
sign.vash_house,스탬피드 저택으로 가는 길,スタンピード邸への道,Path to Stampede's Mansion
sign.wolfwood_house,울프우드 가,ウルフウッド通り,To Wolfwood's House
sign.wood_shop,리비오의 뚝딱 목공소,リビオのドタバタ木工所,Livio's Woodworking Shop
ctr.description,"[이동] 화살표
[확인] space키
[메뉴] esc키
[빨리 감기] 확인 키 길게 누르기","[移動]矢印
[確認] spaceキー
[メニュー]escキー
[早送り]確認キー長押し","[Movement] Arrow Keys
[Confirm] Spacebar
[Menu] Esc Key
[Fast Forward] Hold Confrim Key"
ctr.title,조작 방법 안내,操作方法案内,Control Guide
m_wolfwood,울프우드,ウルフウッド,Wolfwood
m_vash,밧슈,バッシュ,Vash
s_wolfwood,니콜라스,ニコラス,Nicholas
s_vash,스탬피드,スタンピード,Stampede
livio,리비오,リビオ,Livio
s_knives,나이브스,ナイブス,Knives
neco,검은 고양이,黒猫,The black cat
ev1,울프우드가의 가족사진,ウルフウッド家の家族写真,Family photo of the Wolfwood family
ev2,밧슈는 엄청난 동안인듯하다. 비결이 뭘까?,バッシュはものすごい間があるようだ。秘訣は何だろう？,Vash looks incredibly youthful. What's the secret?
ev3,새 조각,新しい彫刻,A wooden bird carving
ev4,지금은 양 날개의 밸런스가 잘 맞는다,今は両翼のバランスがよく合っている,The balance of both wings is perfect now
ev5,오래된 나무에 균열이 갔다.,古い木に亀裂が入った。,The old wood floor has cracked.
ev6,조만간 수리해야겠지?,そのうち修理しないとね。,I'll need to fix it soon.
ev7,"아부지 한티 속은 것 같지만, 약속한 일은 처리해야겠지..",お父さんに騙されたみたいだけど、約束したことはやり遂げないとね。,"I feel like I was tricked by father, but I need to handle the promised task.."
ev8,무슨 일을 시작할까?,どんな仕事を始めようか？,What task should I start?
ev9,좋다. 함 해보자!,いいぞ。やってみよう！,Good. Let's try it!
ev10,진행 중인 심부름을 먼저 마무리하자.,進行中の用事を先に終わらせよう。,Let's finish the current task first.
ev11,이걸 고치려면 수리 도구가 필요하긋다.,これを直すには修理道具が必要だな。,I need repair tools to fix this.
ev12,아재한테 빌려야 쓰겄네.,おじさんに借りるしかないな。,I need to borrow some from the uncle.
ev13,퀘스트: 장작을 패자!,クエスト：薪を倒そう！,Quest: Chop firewood!
ev14,퀘스트: 창고방을 정리하자!,クエスト：倉庫の部屋を片付けよう！,Quest: Organize the storage room!
ev15,퀘스트: 제라늄을 키우자!,クエスト：ゼラニウムを育てよう！,Quest: Gardening geraniums!
ev16,창고방을 살펴보기,倉庫の部屋を調べる,Check the storage room
ev17,리비오의 목공소에서 수리 도구를 빌리기,リビオの木工所で修理道具を借りる,Borrow repair tools from Livio's workshop
ev18,바닥 수리하기,床の修理をする,Repair the floor
ev19,박스 치우기,箱を片付ける,Move the boxes
ev20,울프우드에게 보고하기,ウルフウッドに報告する,Report to Wolfwood
ev21,예,例,Yes
ev22,아니오,いいえ,No
ev23,"어랏, 니콜라스 일하는 중이야?",あら、ニコラス、仕事中なの？,"Oh, Nicholas! Are you running errands for Dad?"
ev24,예에.. 어무이는예?,はい、どうしたの？,Yeah.. What are you doing?
ev25,"아, 오늘따라 가족사진에 눈이 가서 말야~",ああ、今日も家族写真に目が行ってね〜,"Oh, today I was drawn to the family photo—"
ev26,니콜라스는 무심결에 그동안 궁금했던 것을 질문했다.,ニコラスは思わず今まで気になっていたことを質問した。,Nicholas unconsciously asked something he had been curious about.
ev27,동안의 비결?,その秘訣は？,The secret to looking young?
ev28,규칙적인 생활과 10시 취침 아닐까?,規則正しい生活と10時就寝じゃないの？,Regular lifestyle and sleeping at 10 PM?
ev29,(거짓말. 매일 새벽까지 바쁘면서...),(嘘。毎日夜明けまで忙しいのに...),(Lies. He's busy until dawn every day...)
ev30,아부지예,父さん,Father
ev31,뭐꼬,何？,What?
ev32,역시 이런저런 핑계로 저한테 짬처리 하는 거 아입니꺼,やっぱりあれこれ言い訳して私を甘やかしているんでしょう？,You're just making excuses to dump work on me
ev33,"쓰읍. 아이니까, 투덜댈 시간에 가서 일이나 봐라.",は？ いや、愚痴ってる暇があったら仕事でもしてろよ。,"Ha! Don't be like that, go and do the work instead of complaining."
ev34,...,...,...
ev35,텃밭에 있는 밧슈에게 말을 걸자,菜園にいるバシューに話しかけよう,Let's talk to Vash in the garden
ev36,파릇파릇,青々と,Fresh and green
ev37,들판에 씨앗을 심자,畑に種を植えよう,Plant seeds in the field
ev38,마을로 향한 울프우드를 찾자,村に向かったウルフウッドを探そう,Find Wolfwood who went to the village
ev39,제라늄 꽃밭에 물을 주기,ジェラニウムの花畑に水をやろう,Water the geranium flower bed
ev40,이쯤 하믄 충분하겠재?,これくらいでいいかな？,This should be enough.
ev41,다음은 우째야카는지 어무이한테 물어보자,次は何をすればいいのかお母さんに聞いてみよう,Let's ask mother what to do next
ev42,밧슈에게 돌아가기,バシューに戻ろう,Return to Vash
ev43,다음엔 방울토마토를\n심을까?,次はミニトマトを植えようか？,Should I plant\ncherry tomatoes next?
ev44,꽃을 볼 수 있는\n지오 플랜트는 귀여워~,花が見えるジオプラントはかわいい～,The geoplant with\n visible flowers is cute~
ev45,거북이 커플이\n생겼잖아?!,亀のカップルができたでしょ？,A turtle couple\nappeared?!
ev45.1,귀여워라~\n많이 많이 먹으렴~!,かわいい～たくさんたくさん食べてね～！,So cute~\nEat lots and lots~!
ev46,... ... ...,... ... ...,... ... ...
ev47,잘생겼다.,ハンサムだ。,Handsome.
ev48,밧슈의 사랑이 담긴 토스트.,芭蕉の愛が詰まったトースト。,A toast filled with Vash's love.
ev49,맛이 담기진 않은 것 같다.,味は入っていないようだ。,"Love, yes—flavor, not so much."
ev.50,엉망으로 벗어둔 옷가지들.,乱雑に脱ぎっぱなしの衣類。,Clothes scattered in a mess.
ev.51,청소하지 않으면 한 소리 들을게 뻔하다.,片付けないと怒られそうだ。,I'll definitely get scolded if I don't clean up.
ev.52,하지만 치우지 않을 것이다.,でも片付けないだろう。,But I won't clean it up.
ev.53,그는 질풍노도의 시기니까.,彼は怒涛の時期だから。,I’m going through my rebellious phase.
ev.53.1,... ... ... ...,... ... ... ...,... ... ... ...
ev.54,옷을 정리할까?,服を整理しようか？,Should I organize the clothes?
ev.55,아무래도 혼나기 전에 정리해야겠다.,どうやら怒られる前に片付けないといけないようだ。,I should organize before getting scolded.
ev.56,한.. 내일쯤...,一応。明日ぐらいに...。,Well... maybe tomorrow...
ev.57,현명한 선택이다.,賢明な選択だ。,That's a wise choice.
ev58,"좋아, 남은 일도 해치워보실까",よし、残りの仕事も片付けようか。,"Alright, let's finish the remaining tasks"
ev59,빗자루!!!,トンガリ!!!,Spikey!!!
ev60,고요한 저택에서는 아무 대답이 돌아오지 않는다..,静かな邸宅からは何の返事も返ってこない...。,No response came from the quiet mansion..
ev61,제길... 내가 너무 늦은 기가..?,ちくしょう...。俺が遅すぎたのか...？,Damn... Am I too late..?
ev62,니콜라스는 허무한 말과 함께 들고 있던 제라늄 꽃을 놓쳤다.,ニコラスは虚無的な言葉と共に、持っていたゼラニウムの花を手放した。,Nicholas let the geranium slip from his hand as he muttered hollow words.
ev63,만약 시간을 되돌릴 수 있다면...,もし時間を戻せるなら...。,If only I could turn back time…
ev64,리비오의 목공소로 가기,リビオの木工所へ,Go to Livio's workshop
ev65,마을의 끝에 있는 리비오의 목공소로 가자!,街の端にあるリビオの木工所へ行こう！,Let's go to Livio's workshop at the end of the village!
ev66,집으로 돌아가기,家へ帰る,Return home
ev67,부모님이 기다리는 집으로 돌아가자,両親が待っている家に帰りましょう,Let's return to the house where my parents are waiting
ev68,이때나 지금이나 변한 게 없는 것 같다.,今も昔も変わらないようだ。,Nothing seems to have changed from then to now.
ev69,스탬피드가 떠나기 전에 고백해야해!,スタンピードが去る前に告白しなきゃ！,I’ve got to tell Stampede how I feel before he leaves!
ev70,제라늄 꽃을 준비하기,ジェラニウムの花を準備する,Prepare geranium flowers
ev71,방으로 돌아가 반지 찾기,部屋に戻って指輪を探す,Return to the room and find the ring
ev72,스탬피드 저택으로 달리기,スタンピード邸へ走る,Run to Stampede's mansion
ev73,이럴 때가 아냐! 더 늦기 전에 스탬피드를 만나러 가야 해!!,こんな時じゃない！これ以上遅くなる前にスタンピードに会いに行かなきゃ！,No time for this! I need to go meet Stampede before it's too late!!
home1.1,검은색 정장 몇 벌과 모노톤의 옷 몇 벌이 가지런히 정리되어 있다.,黒のスーツ数着とモノトーンの服数着が整然と並んでいる。,Several black suits and monotone clothes are neatly arranged.
home1.2,빨간색 옷으로 가득 차 있다. ... 지겨울 정도로.,赤い服で溢れている。...飽きるほど。,It's full of red clothes. ...To a boring extent.
home1.3,성경과 관련된 서류들이 널브러져 있다. 아멘.,聖書に関連する書類が散乱している。アーメン。,Bible-related documents are scattered around. Amen.
home1.4,침대 아래에 떨어진 빨간색 코트 자락이 보인다.,ベッドの下に落ちた赤いコートの裾が見える。,I can see the hem of a red coat fallen under the bed.
home1.5,뭐 부모님이 알아서 치우겠지.,まあ、親が片付けてくれるだろう。,Well the parents will clean it up themselves.
home2.1,제라늄이 담긴 꽃병이다.,ゼラニウムが入った花瓶だ。,It's a vase with geraniums.
home2.2,오늘 아침 물을 준 모양인지 이슬이 맺혀있다.,今朝水をあげたのか、露がついている。,It looks like it was watered this morning—there are still drops of water on it.
home3.1,독서용 1인 의자.,読書用の1人用椅子。,A single chair for reading.
home3.2,엄마한테 대들때 마다 생각 의자로 썼었다...,母に怒られるたびに思考椅子として使っていたのだが...。,I used it as a ‘thinking chair’ whenever I talked back to mom...
home3.3,사실 독서용으로 사용된 적은 없다.,実は読書用に使ったことはない。,It's never actually been used for reading.
home4.1,제라늄이 담긴 화분이다.,ゼラニウムの鉢植え。,It's a pot with geraniums.
home4.2,아주 오래전부터 키워왔다.,ずっと前から育てている。,It seems to have been grown for a very long time.
home4.3,우리 집은 왜 허구한 날 제라늄만 키우는 걸까?,なぜ我が家は虚しい日にゼラニウムばかり育てているのだろう？,Why is it always geraniums with mother?
home5.1,15살 때 생일선물로 받은 로퍼.,15歳の時に誕生日プレゼントでもらったローファー。,Loafers received as a birthday gift at age 15.
home5.2,빗자루가 예쁘다며 칭찬해 줬었다.,ほうきがきれいだと褒めてもらった。,Spikey praised them saying they were pretty.
home6.1,제라늄.,ゼラニウム。,Geranium.
home7.1,LOVE & PEACE!,LOVE & PEACE！,LOVE & PEACE!
home8.1,부모님께서 취미로 키우고 있는 밭이다.,両親が趣味で育てている畑です。,It's a field that my parents are growing as a hobby.
home8.2,많은 시행착오가 있었지만 결과는 성공적으로 보인다.,多くの試行錯誤があったが、結果は成功したようだ。,There were many trials and errors but the results look successful.
home8.3,밥상에 오르게 되려나?,食卓に上がるかな？,Will it make it to the dinner table?
home9.1,크진 않지만 깨끗한 연못이다.,大きくはないが、きれいな池だ。,It's not big but it's a clean pond.
home9.2,부모님 친구분들이 놀러 올 때 세미 피크닉이 열리곤 한다.,両親の友達が遊びに来るとき、セミピクニックが開かれることがある。,Picnics are held when my parents' friends come to visit.
home9.3,...굉장히 큰 사람과 작은 사람으로 기억한다.,...すごく大きい人と小さい人がいた記憶がある。,...I remember them as a very tall person and a short person.
home10.1,바닥이 까맣게 탄 냄비.,底が真っ黒に焦げた鍋。,A pot with a blackened bottom.
home10.2,누군가 또 요리를 실패했나 보다..,誰かがまた料理に失敗したようだ。,Someone must have failed at cooking again..
home11.1,도넛으로 가득 차 있다.,ドーナツでいっぱいだ。,It's full of donuts.
home12.1,빨간 소파.,赤いソファ。,Red couch.
home12.2,"슬슬 다른 색으로 바꿀 때가 되지 않았나, 파란 소파를 추천했더니 엄마가 기겁하셨다.",そろそろ他の色に変える時期ではないかと、青いソファを勧めたら、母はびっくりした。,"Isn't it time to change to a different color? When I recommended a blue couch, mom was shocked."
home13.1,머 하나. 뺑이 치지 않고?,まあまあ。仕事してないの？,"What are you doing, not speeding?"
home13.2,(숨길 생각도 없구먼...),(隠す気もないな...),(He's not even thinking of hiding it...)
home13.3,내 심부름 쪽지 주이소,私の用事のメモをください。,Give me my task note
home13.4,어제 니 가져갔잖나?,昨日君が持っていったでしょ？,You took it yesterday
home13.5,잘 찾아봐라. 책상 위라던가.,よく探してみろ。机の上とか,Look carefully. Like on the desk.
home13.6,그랬나..?,そうだったかな...？,Did I..?
home14.1,...,...,...
home14.2,... ... ...,... ... ...,...
home14.3,...?,...？,...?
home14.4,니코는 탄 빵도 좋아하지?,ニコは焦げたパンも好きなんだろ？,You likes burnt bread too?
home14.5,... ... 하모예...,... .......うん。,... ... Yeah...
home15.1,칠을 새로 하였는지 페인트 냄새가 난다.,ペンキを塗り替えたのか、ペンキの匂いがする。,There's a paint smell as if it was newly painted.
home16.1,"앗, 저 위에 사는 집 아이 아니니?",あ、上の家の子じゃないの？,"Oh, aren't you the child from the house up there?"
home16.2,정말 언제 보아도 그 집 남편분과 똑 닮았네~,本当にいつ見てもその家のご主人にそっくりね〜,You really look exactly like Wolfwood every time I see you~
home16.3,아...예. (이런 얘긴 귀에 딱지가 앉을 만큼 들은 것 같다.),ああ...そうなんだ。 (こういう話は耳にタコができるほど聞いたことがあるような気がする。),Ah...yes. (I feel like I've heard this story so many times my ears are numb.)
home17.1,생각이 많을 때 누군가와 상담하기 좋아 보인다.,思考が多いときに誰かに相談するのに良さそうだ。,It looks like a good place to consult with someone when you have a lot on your mind.
home18.1,게임기.,ゲーム機。,Game console.
home18.2,7살쯤 스탬피드에게 선물 받았다.,7歳頃にスタンピードにプレゼントされた。,I received it as a gift from Stampede when I was around 7.
home18.3,스탬피드에게 격투 게임 대전을 300번쯤 지고 난 뒤론 켜지 않고 있다...,スタンピードに格闘ゲーム対決に300回くらい負けて以来、電源を入れていない...。,It hasn't been turned on since losing about 300 fighting game matches to Stampede...
home19.1,흠.. 그거 어데 갔나..,うーん、あれはどこに行ったんだろう。,Hmm.. where did that go..
home19.2,정말 언제 이렇게 큰 거지..?,いつからこんなに大きくなったんだろう...？,When did he get so big...?
home19.3,어렸을 땐 귀여웠는데..,小さい頃は可愛かったのに。,He was cute when he was young..
home20.1,헉.. 어떡하지..?,うーん、どうしよう...？,(Gasp..) what should I do..?
home21.1,흠흠...,うーん...うーん...。,Hmm hmm...
home22.1,너무 많이 시켰나..?,やりすぎたかな...？,Did I order too much..?
home23.1,어서오세요~!,いらっしゃいませ～！,Welcome~!
home24.1,하아...,はあ...,(Sigh...)
home24.2,목공소에나 가봐야긋다.,木工所に行けばいいのに。,I should go to the woodshop.
home25.1,아 잘 키워두니 편하고 마.,ああ、育てておいてよかった。,It's convenient to have raised son well.
home26.1,무럭무럭 자라렴~,すくすく育ってね～,Grow big and strong~
home26.2,램이 봤다면 좋아했을 텐데..,ラムが見たら喜んだのに...,Rem would have liked this if she saw this..
home27.1,묵직한 쇳덩이 떨어지는 소리가 났다.,重い鉄の塊が落ちる音がした。,There was a sound of heavy metal falling.
home27.2,...? 이거 리볼버 아이가?,......これはリボルバーの子供？,...? Is this a revolver?
home27.3,와 집에 이런 게 있는 기고..?,と、家にこんなものがあるギゴ...？,Why there's something like this at home..?
q0.1,"앗, 니콜라스..! 집에 있었구나~!",あっ、ニコラス 家にいたのか～！,"Oh, Nicholas..! You were home~!"
q0.2,오늘따라 쿠키가 정말 잘 구워졌거든!,今日ばかりは、クッキーが本当によく焼けたから！,The cookies turned out really well today!
q0.3,스탬피드는 라탄 바구니를 한 팔에 안고 있다. 살포시 덮인 흰 천 아래로 산더미처럼 쌓인 쿠키가 보인다.,スタンピードは籐のバスケットを片腕に抱えている。ふわっと覆われた白い布の下に山ほど積まれたクッキーが見える。,Stampede is holding a rattan basket in one arm. Cookies piled like a mountain can be seen under the lightly covered white cloth.
q0.4,모두랑 나눠먹고 싶어서 가져왔어!,みんなと一緒に食べたいから持ってきたんだ！,I brought them to share with everyone!
q0.5,니콜라스도 있는 시간에 와서 다행이다..,ニコラスもいる時間に来てよかった。,Good thing I came when Nicholas had time.
q0.6,"ㅁ,맞나.. 고맙다..",そうなの？ありがとうございます。,"Um, right.. thank you.."
q0.7,두 사람이 머쓱하게 웃으며 마주 본 채로 조용한 시간이 흘렀다.,二人が照れくさそうに笑いながら向かい合ったまま、静かな時間が流れる。,They smiled awkwardly at each other as quiet time passed.
q0.8,적당히 말문을 열지 못해 식은땀이 날 때쯤 뒤에서 불쑥 밧슈가 나타났다.,なかなか言葉を発することができず、冷や汗をかいていると、後ろから突然バシューが現れた。,When they couldn't find words to say and cold sweat was forming Vash suddenly appeared from behind.
q0.9,"어머! 선물을 가져온 거니, 스탬피드?!",あら！ プレゼント持ってきたの、スタンピード？,"Oh my! Did you bring a gift, Stampede?!"
q0.10,"아, 안녕하세요! 밧슈씨..!",あ、こんにちは！ バシューさん...！,"Oh, hello! Vash..!"
q0.11,스탬피드는 화들짝 놀라며 안고 있던 쿠키 바구니를 쏟을 뻔했다.,スタンピードはびっくりして、抱えていたクッキーバスケットをこぼしそうになった。,Stampede was startled and almost spilled the cookie basket he was holding.
q0.12,"어디, 스탬피드의 솜씨 좀 볼까?",ほら、スタンピードの腕前を見ようか？,"Well, let me see Stampede's handiwork?"
q0.13,밧슈는 니콜라스 옆으로 손을 뻗어 쿠키를 집어 든다.,バシューはニコラスの横に手を伸ばし、クッキーを手に取る。,Vash reaches next to Nicholas and picks up a cookie.
q0.14,"자, 잠깐…!!",ほら、待って...！？,"Wait, wait…!!"
q0.15,니콜라스가 끼어들 틈도 없이 쿠키를 양 볼 가득 물고 우물대고 있었다.,ニコラスが口を挟む間もなく、クッキーを両頬いっぱいに頬張っている。,Before Nicholas could intervene Vash was already chewing with both cheeks full of cookies.
q0.16,오~ 아가씨 수제 쿠키가? 우리 빗자루보다 훨씬 나아 보이는데?!,おお～お嬢さん手作りクッキー？ 俺たちのトンガリよりずっと美味しそうだけど？,Oh- your homemade cookies? They look much better than MY Spikey's!
q0.17,울프우드도 쿠키를 한웅큼 집어 든다. 바구니가 순식간에 비어갔다.,ウルフウッドもクッキーを一口ずつ手に取る。バスケットはあっという間に空っぽになった。,Wolfwood also grabs a handful of cookies. The basket emptied in an instant.
q0.18,"맞다. 마, 메느리 삼을 사람 부러워갖꼬 우짜노?",おいしいね～、スタンピードを嫁にする人はいいな～。,"Right. Well, I'm envious of someone who would take you as a daughter-in-law."
q0.19,..~!!@#$%@%..!!!,..~!!@#$%@%..!!!,..~!!@#$%@%..!!!
q0.20,"ㄱ,감사합니다..",あ、ありがとうございます。,T-thank you..
q0.21,(니는 와 부끄러워하는 긴데..!! 뭔데..!!!),(あんた、恥ずかしがってるんだ...！！何だ...！！),(Why are you being so shy..!! What's this..!!!)
q0.22,그럼 전 이만 가볼게요..!,では、私はこれで失礼します...！,Then I'll be going now..!
q0.23,"니콜라스, 쿠키..어땠는지 꼭 알려줘..!",ニコラス、クッキー...どうだったか、ぜひ教えてね！,"Nicholas, please let me know how the cookies were..!"
q0.24,아.. ...,ああ。...,Ah.. ...
q0.25,(갈 길이 멀고만…),(行く道は遠いけど...),(We’ve still got a long way to go…)
q0.26,"뭐 하나, 빨리 창고나 치워라.",まあ一つ、早く倉庫を片付けろよ。,"What are you doing, hurry up and clean the storage."
q0.27,(두고 보자..),(見てみよう...),(Just wait and see...)
q1.1,창고방 정리,倉庫部屋整理,Clean storage room
q1.2,창고방이면.. 내 방 바로 위다.,倉庫部屋なら. 私の部屋のすぐ上だ。,The storage room is.. right above my room.
q1.3,안 치운지 10년도 더 된 것 같은디..,もう10年以上片付けてないような気がするけど...,It feels like it hasn't been cleaned for over 10 years..
q1.4,여는 아부지 어무이가 치우겠다 몇 년째 장담만 했었재.. 여전히 꼬락서니가 말이 아니네.,ここは父と母が何年も前から片付けると約束してたのに...。相変わらずひどい状態だ。,Wolfwood and Vash have been promising to clean it for years.. It's still a mess.
q1.5,니콜라스는 깊은 한숨을 내쉬었다.,ニコラスは深くため息をついた。,Nicholas let out a deep sigh.
q1.6,수리하려면 장비가 필요하 긋다.,修理するには道具が必要だな。,I need equipment to repair it.
q1.6.1,아재네 가서 연장 좀 빌려야 쓰겄네.,おっちゃんの家に行って延長を借りないといけないね。,I need to go to the uncle's woodshop and borrow some tools.
q1.7,창고방을 살펴보기,倉庫の部屋を見てみる,Examine the storage room
q1.8,"아따, 마루 꼴 봐라.",床がめちゃくちゃだ。,"Wow, look at the state of the floor."
q1.9,이래가 정리는커녕 빡스 들고 댕기다 다리 뿐지르것다.,これじゃあ、倉庫の整理はおろか、つまづいて足を骨折してしまう。,I'll break my leg carrying boxes instead of clean.
q1.10,아재네 가서 연장 좀 빌려야 쓰것네.,おっちゃんの家に行って延長を借りてこよう。,I need to go to the uncle's woodshop and borrow some tools.
q1.11,[리비오의 목공소]에서 장비 빌리기,[リビオの木工所】で道具を借りる,Borrow equipment from [Livio's Woodshop]
q1.12,아재는 출장 나간기가?,アザエは出張中なのか？,Did uncle Livio go on a business trip?
q1.13,니콜라스는 고민 없이 수리 도구를 챙겼다.,ニコラスは迷わず修理道具を取り出した。,Nicholas took the repair tools without hesitation.
q1.14,...내 쫌만 빌릴게.,...ちょっと借りるよ。,...I'm borrowing this for a second
q1.14.1,타이밍에 맞춰 확인 키를 누르자!,タイミングを合わせて確認キーを押そう！,Press Confirm key at the right timing!
q1.14.2,망가진 바닥에 못질을 훌륭하게 해낸다면 수리 성공!,壊れた床の釘打ちをうまくやれば修理成功！,If you nail the broken floor perfectly the repair will be successful!
q1.14.3,내 솜씨를 보여주겠어.,俺の腕前を見せよう。,I'll show my skills.
q1.15,타이밍에 맞춰 못 질을 하자!,タイミングを合わせて釘打ちをしよう！,Hammer the nail at just the right moment!
q1.16,이 바닥을 고칠까?,この床を直そうか？,Should I fix this floor?
q1.17,이 박스를 옮길까?,この箱を移そうか？,Should I move this box?
q1.17.1,이 요람을 치울까?,この揺りかごを片付けようか？,Should we get rid of this cradle?
q1.18,"후, 빡스도 옮겨 놓으라 캤지.",その後、像も移せと言った。,"Phew, they said to move the boxes too."
q1.19,이건 뭐 금방 한다이가.,これはまあすぐできる。,This will be done quickly.
q1.20,...?,.......,...?
q1.21,"…마, 이때나 지금이랑 똑같네.",... スタンピードは当時も今も変わらないね。,"…Well, he hasn’t changed a bit since then."
q1.22,니콜라스는 [사진]을 소중히 챙겨 넣었다.,ニコラスは【写真】を大事にしまっておいた。,Nicholas carefully put away the [photo].
q1.23,... ... ...,... ... ... ...,...
q1.24,리비오 아재요?,リビオおじさんですか？,Uncle Livio?
q1.25,"흠, 고쳐놓으니 보기 좋네.",うーん、直すと見栄えがいいな。,"Hmm, it looks good now that it's fixed."
